,TP,TP+FP,TP+FN,precision,recall,f1
bod,4365,6614,5883,0.66,0.742,0.6986
dep,68,99,110,0.6869,0.6182,0.6507
dis,4055,5398,4935,0.7512,0.8217,0.7849
dru,1256,1583,1440,0.7934,0.8722,0.831
equ,146,248,238,0.5887,0.6134,0.6008
ite,396,785,923,0.5045,0.429,0.4637
mic,483,626,584,0.7716,0.8271,0.7983
pro,1475,2365,2057,0.6237,0.7171,0.6671
sym,2005,3211,4130,0.6244,0.4855,0.5462
