,TP,TP+FP,TP+FN,precision,recall,f1
ANATOMY,2821,3328,3094,0.8477,0.9118,0.8785
DISEASE,1204,1382,1323,0.8712,0.9101,0.8902
DRUG,473,502,485,0.9422,0.9753,0.9585
OPERATION,147,166,162,0.8855,0.9074,0.8963
TESTIMAGE,330,372,348,0.8871,0.9483,0.9167
TESTLAB,463,598,590,0.7742,0.7847,0.7795
