,TP,TP+FP,TP+FN,precision,recall,f1
bod,4322,6528,5883,0.6621,0.7347,0.6965
dep,69,102,110,0.6765,0.6273,0.6509
dis,4013,5309,4935,0.7559,0.8132,0.7835
dru,1261,1593,1440,0.7916,0.8757,0.8315
equ,143,241,238,0.5934,0.6008,0.5971
ite,371,709,923,0.5233,0.402,0.4547
mic,482,621,584,0.7762,0.8253,0.8
pro,1470,2341,2057,0.6279,0.7146,0.6685
sym,2017,3245,4130,0.6216,0.4884,0.547
